当前时间:12:30:00    当前价格:7.080000 波动价格:0.0 初始波动:-0.72,比率0.0923%
当前时间:09:34:09    当前价格:6.880000 波动价格:-0.11 初始波动:-0.2,比率0.0282%
当前时间:09:34:10    当前价格:6.990000 波动价格:0.11 初始波动:-0.09,比率0.0127%
当前时间:09:34:11    当前价格:6.820000 波动价格:-0.17 初始波动:-0.26,比率0.0367%
当前时间:09:34:12    当前价格:6.820000 波动价格:0.0 初始波动:-0.26,比率0.0367%
当前时间:09:34:16    当前价格:6.890000 波动价格:0.07 初始波动:-0.19,比率0.0268%
当前时间:09:34:17    当前价格:6.890000 波动价格:0.0 初始波动:-0.19,比率0.0268%
当前时间:09:34:19    当前价格:6.850000 波动价格:-0.04 初始波动:-0.23,比率0.0325%
当前时间:09:34:23    当前价格:6.890000 波动价格:0.04 初始波动:-0.19,比率0.0268%
当前时间:09:34:32    当前价格:6.900000 波动价格:0.01 初始波动:-0.18,比率0.0254%
当前时间:09:34:33    当前价格:6.910000 波动价格:0.01 初始波动:-0.17,比率0.024%
当前时间:09:34:34    当前价格:6.890000 波动价格:-0.02 初始波动:-0.19,比率0.0268%
当前时间:09:34:39    当前价格:6.850000 波动价格:-0.04 初始波动:-0.23,比率0.0325%
当前时间:09:34:43    当前价格:6.850000 波动价格:0.0 初始波动:-0.23,比率0.0325%
当前时间:09:34:45    当前价格:6.820000 波动价格:-0.03 初始波动:-0.26,比率0.0367%
当前时间:09:34:47    当前价格:6.810000 波动价格:-0.01 初始波动:-0.27,比率0.0381%
当前时间:09:34:48    当前价格:6.850000 波动价格:0.04 初始波动:-0.23,比率0.0325%
当前时间:09:34:50    当前价格:6.750000 波动价格:-0.1 初始波动:-0.33,比率0.0466%
当前时间:09:34:54    当前价格:6.750000 波动价格:0.0 初始波动:-0.33,比率0.0466%
当前时间:09:34:56    当前价格:6.720100 波动价格:-0.0299 初始波动:-0.3599,比率0.0508%
当前时间:09:34:57    当前价格:6.750000 波动价格:0.0299 初始波动:-0.33,比率0.0466%
当前时间:09:34:58    当前价格:6.720000 波动价格:-0.03 初始波动:-0.36,比率0.0508%
当前时间:09:35:00    当前价格:6.700000 波动价格:-0.02 初始波动:-0.38,比率0.0537%
当前时间:09:35:03    当前价格:6.700000 波动价格:0.0 初始波动:-0.38,比率0.0537%
当前时间:09:35:04    当前价格:6.700000 波动价格:0.0 初始波动:-0.38,比率0.0537%
当前时间:09:35:07    当前价格:6.700000 波动价格:0.0 初始波动:-0.38,比率0.0537%
当前时间:09:35:08    当前价格:6.650000 波动价格:-0.05 初始波动:-0.43,比率0.0607%
当前时间:09:35:09    当前价格:6.700000 波动价格:0.05 初始波动:-0.38,比率0.0537%
当前时间:09:35:10    当前价格:6.700000 波动价格:0.0 初始波动:-0.38,比率0.0537%
当前时间:09:35:13    当前价格:6.660001 波动价格:-0.039999 初始波动:-0.419999,比率0.0593%
当前时间:09:35:16    当前价格:6.650000 波动价格:-0.010001 初始波动:-0.43,比率0.0607%
当前时间:09:35:17    当前价格:6.700000 波动价格:0.05 初始波动:-0.38,比率0.0537%
当前时间:09:35:20    当前价格:6.650000 波动价格:-0.05 初始波动:-0.43,比率0.0607%
当前时间:09:35:23    当前价格:6.631000 波动价格:-0.019 初始波动:-0.449,比率0.0634%
当前时间:09:35:24    当前价格:6.700000 波动价格:0.069 初始波动:-0.38,比率0.0537%
当前时间:09:35:25    当前价格:6.800000 波动价格:0.1 初始波动:-0.28,比率0.0395%
当前时间:09:35:26    当前价格:6.800000 波动价格:0.0 初始波动:-0.28,比率0.0395%
当前时间:09:35:28    当前价格:6.700000 波动价格:-0.1 初始波动:-0.38,比率0.0537%
当前时间:09:35:29    当前价格:6.660000 波动价格:-0.04 初始波动:-0.42,比率0.0593%
当前时间:09:35:31    当前价格:6.630000 波动价格:-0.03 初始波动:-0.45,比率0.0636%
当前时间:09:35:32    当前价格:6.800000 波动价格:0.17 初始波动:-0.28,比率0.0395%
当前时间:09:35:37    当前价格:6.800000 波动价格:0.0 初始波动:-0.28,比率0.0395%
当前时间:09:35:42    当前价格:6.740000 波动价格:-0.06 初始波动:-0.34,比率0.048%
当前时间:09:35:44    当前价格:6.660000 波动价格:-0.08 初始波动:-0.42,比率0.0593%
当前时间:09:35:46    当前价格:6.700000 波动价格:0.04 初始波动:-0.38,比率0.0537%
当前时间:09:35:50    当前价格:6.660000 波动价格:-0.04 初始波动:-0.42,比率0.0593%
当前时间:09:35:51    当前价格:6.640000 波动价格:-0.02 初始波动:-0.44,比率0.0621%
当前时间:09:35:52    当前价格:6.700000 波动价格:0.06 初始波动:-0.38,比率0.0537%
当前时间:09:35:55    当前价格:6.670000 波动价格:-0.03 初始波动:-0.41,比率0.0579%
当前时间:09:35:56    当前价格:6.631000 波动价格:-0.039 初始波动:-0.449,比率0.0634%
当前时间:09:35:58    当前价格:6.670000 波动价格:0.039 初始波动:-0.41,比率0.0579%
当前时间:09:35:59    当前价格:6.670000 波动价格:0.0 初始波动:-0.41,比率0.0579%
当前时间:09:36:00    当前价格:6.630000 波动价格:-0.04 初始波动:-0.45,比率0.0636%
当前时间:09:36:02    当前价格:6.630000 波动价格:0.0 初始波动:-0.45,比率0.0636%
当前时间:09:36:04    当前价格:6.660000 波动价格:0.03 初始波动:-0.42,比率0.0593%
当前时间:09:36:05    当前价格:6.630000 波动价格:-0.03 初始波动:-0.45,比率0.0636%
当前时间:09:36:07    当前价格:6.630000 波动价格:0.0 初始波动:-0.45,比率0.0636%
当前时间:09:36:09    当前价格:6.660000 波动价格:0.03 初始波动:-0.42,比率0.0593%
当前时间:09:36:10    当前价格:6.660000 波动价格:0.0 初始波动:-0.42,比率0.0593%
当前时间:09:36:11    当前价格:6.630000 波动价格:-0.03 初始波动:-0.45,比率0.0636%
当前时间:09:36:13    当前价格:6.630000 波动价格:0.0 初始波动:-0.45,比率0.0636%
当前时间:09:36:14    当前价格:6.630100 波动价格:0.0001 初始波动:-0.4499,比率0.0635%
当前时间:09:36:15    当前价格:6.630000 波动价格:-0.0001 初始波动:-0.45,比率0.0636%
当前时间:09:36:17    当前价格:6.630000 波动价格:0.0 初始波动:-0.45,比率0.0636%
当前时间:09:36:18    当前价格:6.650000 波动价格:0.02 初始波动:-0.43,比率0.0607%
当前时间:09:36:19    当前价格:6.630000 波动价格:-0.02 初始波动:-0.45,比率0.0636%
当前时间:09:36:21    当前价格:6.620000 波动价格:-0.01 初始波动:-0.46,比率0.065%
当前时间:09:36:22    当前价格:6.611000 波动价格:-0.009 初始波动:-0.469,比率0.0662%
当前时间:09:36:23    当前价格:6.630100 波动价格:0.0191 初始波动:-0.4499,比率0.0635%
当前时间:09:36:24    当前价格:6.600000 波动价格:-0.0301 初始波动:-0.48,比率0.0678%
当前时间:09:36:25    当前价格:6.600000 波动价格:0.0 初始波动:-0.48,比率0.0678%
当前时间:09:36:26    当前价格:6.600000 波动价格:0.0 初始波动:-0.48,比率0.0678%
当前时间:09:36:29    当前价格:6.600000 波动价格:0.0 初始波动:-0.48,比率0.0678%
当前时间:09:36:30    当前价格:6.600000 波动价格:0.0 初始波动:-0.48,比率0.0678%
当前时间:09:36:31    当前价格:6.600000 波动价格:0.0 初始波动:-0.48,比率0.0678%
当前时间:09:36:32    当前价格:6.560000 波动价格:-0.04 初始波动:-0.52,比率0.0734%
当前时间:09:36:33    当前价格:6.600000 波动价格:0.04 初始波动:-0.48,比率0.0678%
当前时间:09:36:34    当前价格:6.590000 波动价格:-0.01 初始波动:-0.49,比率0.0692%
当前时间:09:36:35    当前价格:6.554000 波动价格:-0.036 初始波动:-0.526,比率0.0743%
当前时间:09:36:37    当前价格:6.590000 波动价格:0.036 初始波动:-0.49,比率0.0692%
当前时间:09:36:40    当前价格:6.560000 波动价格:-0.03 初始波动:-0.52,比率0.0734%
当前时间:09:36:44    当前价格:6.550000 波动价格:-0.01 初始波动:-0.53,比率0.0749%
当前时间:09:36:46    当前价格:6.530100 波动价格:-0.0199 初始波动:-0.5499,比率0.0777%
当前时间:09:36:47    当前价格:6.533600 波动价格:0.0035 初始波动:-0.5464,比率0.0772%
当前时间:09:36:48    当前价格:6.500000 波动价格:-0.0336 初始波动:-0.58,比率0.0819%
当前时间:09:36:49    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:36:52    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:36:53    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:36:54    当前价格:6.480000 波动价格:-0.02 初始波动:-0.6,比率0.0847%
当前时间:09:36:55    当前价格:6.511000 波动价格:0.031 初始波动:-0.569,比率0.0804%
当前时间:09:36:57    当前价格:6.480000 波动价格:-0.031 初始波动:-0.6,比率0.0847%
当前时间:09:36:58    当前价格:6.480000 波动价格:0.0 初始波动:-0.6,比率0.0847%
当前时间:09:36:59    当前价格:6.400000 波动价格:-0.08 初始波动:-0.68,比率0.096%
当前时间:09:37:00    当前价格:6.480000 波动价格:0.08 初始波动:-0.6,比率0.0847%
当前时间:09:37:02    当前价格:6.450000 波动价格:-0.03 初始波动:-0.63,比率0.089%
当前时间:09:37:03    当前价格:6.400100 波动价格:-0.0499 初始波动:-0.6799,比率0.096%
当前时间:09:37:04    当前价格:6.400000 波动价格:-0.0001 初始波动:-0.68,比率0.096%
当前时间:09:37:07    当前价格:6.450000 波动价格:0.05 初始波动:-0.63,比率0.089%
当前时间:09:37:08    当前价格:6.400100 波动价格:-0.0499 初始波动:-0.6799,比率0.096%
当前时间:09:37:10    当前价格:6.400000 波动价格:-0.0001 初始波动:-0.68,比率0.096%
当前时间:09:37:11    当前价格:6.400000 波动价格:0.0 初始波动:-0.68,比率0.096%
当前时间:09:37:12    当前价格:6.450000 波动价格:0.05 初始波动:-0.63,比率0.089%
当前时间:09:37:14    当前价格:6.401000 波动价格:-0.049 初始波动:-0.679,比率0.0959%
当前时间:09:37:17    当前价格:6.450000 波动价格:0.049 初始波动:-0.63,比率0.089%
当前时间:09:37:19    当前价格:6.401000 波动价格:-0.049 初始波动:-0.679,比率0.0959%
当前时间:09:37:20    当前价格:6.450000 波动价格:0.049 初始波动:-0.63,比率0.089%
当前时间:09:37:21    当前价格:6.480000 波动价格:0.03 初始波动:-0.6,比率0.0847%
当前时间:09:37:23    当前价格:6.450000 波动价格:-0.03 初始波动:-0.63,比率0.089%
当前时间:09:37:24    当前价格:6.450000 波动价格:0.0 初始波动:-0.63,比率0.089%
当前时间:09:37:25    当前价格:6.480000 波动价格:0.03 初始波动:-0.6,比率0.0847%
当前时间:09:37:26    当前价格:6.500000 波动价格:0.02 初始波动:-0.58,比率0.0819%
当前时间:09:37:27    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:37:29    当前价格:6.450000 波动价格:-0.05 初始波动:-0.63,比率0.089%
当前时间:09:37:31    当前价格:6.500000 波动价格:0.05 初始波动:-0.58,比率0.0819%
当前时间:09:37:32    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:37:36    当前价格:6.450001 波动价格:-0.049999 初始波动:-0.629999,比率0.089%
当前时间:09:37:37    当前价格:6.500000 波动价格:0.049999 初始波动:-0.58,比率0.0819%
当前时间:09:37:38    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:37:41    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:37:42    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:37:43    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:37:44    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:37:45    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:37:46    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:37:47    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:37:50    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:37:51    当前价格:6.461000 波动价格:-0.039 初始波动:-0.619,比率0.0874%
当前时间:09:37:53    当前价格:6.512000 波动价格:0.051 初始波动:-0.568,比率0.0802%
当前时间:09:37:54    当前价格:6.512000 波动价格:0.0 初始波动:-0.568,比率0.0802%
当前时间:09:37:57    当前价格:6.500000 波动价格:-0.012 初始波动:-0.58,比率0.0819%
当前时间:09:38:02    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:38:04    当前价格:6.512000 波动价格:0.012 初始波动:-0.568,比率0.0802%
当前时间:09:38:05    当前价格:6.500000 波动价格:-0.012 初始波动:-0.58,比率0.0819%
当前时间:09:38:06    当前价格:6.471000 波动价格:-0.029 初始波动:-0.609,比率0.086%
当前时间:09:38:07    当前价格:6.500000 波动价格:0.029 初始波动:-0.58,比率0.0819%
当前时间:09:38:12    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:38:13    当前价格:6.470000 波动价格:-0.03 初始波动:-0.61,比率0.0862%
当前时间:09:38:15    当前价格:6.500000 波动价格:0.03 初始波动:-0.58,比率0.0819%
当前时间:09:38:17    当前价格:6.470000 波动价格:-0.03 初始波动:-0.61,比率0.0862%
当前时间:09:38:20    当前价格:6.500000 波动价格:0.03 初始波动:-0.58,比率0.0819%
当前时间:09:38:21    当前价格:6.470000 波动价格:-0.03 初始波动:-0.61,比率0.0862%
当前时间:09:38:22    当前价格:6.461000 波动价格:-0.009 初始波动:-0.619,比率0.0874%
当前时间:09:38:23    当前价格:6.500000 波动价格:0.039 初始波动:-0.58,比率0.0819%
当前时间:09:38:24    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:38:25    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:38:26    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:38:27    当前价格:6.498000 波动价格:-0.002 初始波动:-0.582,比率0.0822%
当前时间:09:38:29    当前价格:6.500000 波动价格:0.002 初始波动:-0.58,比率0.0819%
当前时间:09:38:30    当前价格:6.500000 波动价格:0.0 初始波动:-0.58,比率0.0819%
当前时间:09:38:31    当前价格:6.471000 波动价格:-0.029 初始波动:-0.609,比率0.086%
当前时间:09:38:32    当前价格:6.500000 波动价格:0.029 初始波动:-0.58,比率0.0819%
当前时间:09:38:33    当前价格:6.512000 波动价格:0.012 初始波动:-0.568,比率0.0802%
当前时间:09:38:36    当前价格:6.533600 波动价格:0.0216 初始波动:-0.5464,比率0.0772%
当前时间:09:38:41    当前价格:6.500000 波动价格:-0.0336 初始波动:-0.58,比率0.0819%
当前时间:09:38:42    当前价格:6.533600 波动价格:0.0336 初始波动:-0.5464,比率0.0772%
当前时间:09:38:43    当前价格:6.533600 波动价格:0.0 初始波动:-0.5464,比率0.0772%
当前时间:09:38:45    当前价格:6.500000 波动价格:-0.0336 初始波动:-0.58,比率0.0819%
当前时间:09:38:47    当前价格:6.600000 波动价格:0.1 初始波动:-0.48,比率0.0678%
当前时间:09:38:50    当前价格:6.501000 波动价格:-0.099 初始波动:-0.579,比率0.0818%
当前时间:09:38:54    当前价格:6.500001 波动价格:-0.000999 初始波动:-0.579999,比率0.0819%
当前时间:09:38:57    当前价格:6.500001 波动价格:0.0 初始波动:-0.579999,比率0.0819%
当前时间:09:38:59    当前价格:6.500001 波动价格:0.0 初始波动:-0.579999,比率0.0819%
当前时间:09:39:01    当前价格:6.505000 波动价格:0.004999 初始波动:-0.575,比率0.0812%
当前时间:09:39:04    当前价格:6.505000 波动价格:0.0 初始波动:-0.575,比率0.0812%
当前时间:09:39:07    当前价格:6.505000 波动价格:0.0 初始波动:-0.575,比率0.0812%
当前时间:09:39:08    当前价格:6.500000 波动价格:-0.005 初始波动:-0.58,比率0.0819%
